Test run #,10 sequential,10 parallel,10 speedup,25 sequential,25 parallel,25 speedup,50 sequential,50 parallel,50 speedup,100 sequential,100 parallel,100 speedup,500 sequential,500 parallel,500 speedup
1,2.8613,0.5403,5.30,8.9282,1.1501,7.76,18.0808,1.8271,9.90,33.5346,3.8259,8.77,173.9096,18.2533,9.53
2,3.4927,0.6000,5.82,8.5090,1.1072,7.68,17.0317,2.2984,7.41,34.9232,4.0012,8.73,169.4444,18.0542,9.39
3,3.7390,0.6009,6.22,8.6325,1.0440,8.27,16.1395,2.2793,7.08,36.9763,4.0550,9.12,176.2871,18.3494,9.61
4,2.6661,0.5408,4.93,9.1888,1.1686,7.86,17.7303,2.1785,8.14,35.8629,3.9904,8.99,173.1701,18.4988,9.36
5,3.1542,0.5969,5.28,7.8235,1.0832,7.22,17.5982,2.0811,8.46,35.7328,3.8208,9.35,170.4946,18.4374,9.25
6,3.2485,0.5856,5.55,8.9275,1.1670,7.65,16.4556,2.1705,7.58,33.4446,3.8711,8.64,175.5882,18.2551,9.62
7,3.3340,0.5975,5.58,9.1299,1.0773,8.48,18.4519,2.1596,8.54,35.2276,4.0535,8.69,181.1172,17.8443,10.15
8,4.1262,0.5168,7.98,9.5603,1.1588,8.25,16.7265,2.3222,7.20,37.8257,3.9058,9.68,179.4100,18.1567,9.88
9,2.9968,0.5944,5.04,8.3114,1.1449,7.26,19.1550,2.0363,9.41,32.4219,4.0279,8.05,170.3615,18.1979,9.36
10,4.2660,0.5908,7.22,8.6059,1.1566,7.44,15.8985,2.1974,7.24,35.4964,4.0301,8.81,178.0542,18.1693,9.80
